property,cond_num,conditional,option,prob
sex,0,,male,0.48542855946515556
sex,0,,female,0.5145714405348445
age,0,,0,0.013111064260229061
age,0,,1,0.013111064260229061
age,0,,2,0.013111064260229061
age,0,,3,0.013111064260229061
age,0,,4,0.013111064260229061
age,0,,5,0.011796137936505954
age,0,,6,0.011796137936505954
age,0,,7,0.011796137936505954
age,0,,8,0.011796137936505954
age,0,,9,0.011796137936505954
age,0,,10,0.01141010789007216
age,0,,11,0.01141010789007216
age,0,,12,0.01141010789007216
age,0,,13,0.01141010789007216
age,0,,14,0.01141010789007216
age,0,,15,0.011086151181266634
age,0,,16,0.011377051083051187
age,0,,17,0.011377051083051187
age,0,,18,0.012971123777173613
age,0,,19,0.012971123777173613
age,0,,20,0.013803053420534742
age,0,,21,0.015971947258966293
age,0,,22,0.015971947258966293
age,0,,23,0.015971947258966293
age,0,,24,0.015971947258966293
age,0,,25,0.019616276584100558
age,0,,26,0.019616276584100558
age,0,,27,0.019616276584100558
age,0,,28,0.019616276584100558
age,0,,29,0.019616276584100558
age,0,,30,0.019616276584100558
age,0,,31,0.019616276584100558
age,0,,32,0.019616276584100558
age,0,,33,0.019616276584100558
age,0,,34,0.019616276584100558
age,0,,35,0.013974214221332219
age,0,,36,0.013974214221332219
age,0,,37,0.013974214221332219
age,0,,38,0.013974214221332219
age,0,,39,0.013974214221332219
age,0,,40,0.013974214221332219
age,0,,41,0.013974214221332219
age,0,,42,0.013974214221332219
age,0,,43,0.013974214221332219
age,0,,44,0.013974214221332219
age,0,,45,0.012105035433224148
age,0,,46,0.012105035433224148
age,0,,47,0.012105035433224148
age,0,,48,0.012105035433224148
age,0,,49,0.012105035433224148
age,0,,50,0.012105035433224148
age,0,,51,0.012105035433224148
age,0,,52,0.012105035433224148
age,0,,53,0.012105035433224148
age,0,,54,0.012105035433224148
age,0,,55,0.011498259375461417
age,0,,56,0.011498259375461417
age,0,,57,0.011498259375461417
age,0,,58,0.011498259375461417
age,0,,59,0.011498259375461417
age,0,,60,0.010645393754320342
age,0,,61,0.010645393754320342
age,0,,62,0.009528073677011488
age,0,,63,0.009528073677011488
age,0,,64,0.009528073677011488
age,0,,65,0.006689228549621573
age,0,,66,0.006689228549621573
age,0,,67,0.006689228549621573
age,0,,68,0.006689228549621573
age,0,,69,0.006689228549621573
age,0,,70,0.006689228549621573
age,0,,71,0.006689228549621573
age,0,,72,0.006689228549621573
age,0,,73,0.006689228549621573
age,0,,74,0.006689228549621573
age,0,,75,0.0035297323941282295
age,0,,76,0.0035297323941282295
age,0,,77,0.0035297323941282295
age,0,,78,0.0035297323941282295
age,0,,79,0.0035297323941282295
age,0,,80,0.0035297323941282295
age,0,,81,0.0035297323941282295
age,0,,82,0.0035297323941282295
age,0,,83,0.0035297323941282295
age,0,,84,0.0035297323941282295
age,0,,85,0.0009619530843102844
age,0,,86,0.0009619530843102844
age,0,,87,0.0009619530843102844
age,0,,88,0.0009619530843102844
age,0,,89,0.0009619530843102844
age,0,,90,0.0009619530843102844
age,0,,91,0.0009619530843102844
age,0,,92,0.0009619530843102844
age,0,,93,0.0009619530843102844
age,0,,94,0.0009619530843102844
age,0,,95,0.0009619530843102844
age,0,,96,0.0009619530843102844
age,0,,97,0.0009619530843102844
age,0,,98,0.0009619530843102844
age,0,,99,0.0009619530843102844
race,0,,white,0.49141184153595147
race,0,,african_american,0.30508714876224297
race,0,,american_indian,0.002836641340255184
race,0,,asian,0.062241560046220765
race,0,,native_hawaiian,0.0003088974967181937
race,0,,some_other_race,0.11185211412972813
race,0,,two_or_more_races,0.02626179668888329
