Age1,Age2,M,F
0,4,348118460,326615761
5,9,338197956,316392415
10,14,323408464,301721890
15,19,312289667,291970945
20,24,306830227,288333588
25,29,311896028,296800618
30,34,293288742,282806013
35,39,260229688,253393851
40,44,247030117,242071930
45,49,235415521,233230320
50,54,210286622,210753325
55,59,176857384,180546768
60,64,149193278,156788815
65,69,113358475,124431166
70,74,75801127,88117181
75,79,51412158,65362869
80,84,31189250,44614780
85,89,14625838,24735486
90,94,4931163,10546517
95,99,1010554,2783973
