option,value,label,conditional_index
0,348118460,0,0
1,348118460,1,0
2,348118460,2,0
3,348118460,3,0
4,348118460,4,0
0,326615761,0,1
1,326615761,1,1
2,326615761,2,1
3,326615761,3,1
4,326615761,4,1
5,338197956,5,0
6,338197956,6,0
7,338197956,7,0
8,338197956,8,0
9,338197956,9,0
5,316392415,5,1
6,316392415,6,1
7,316392415,7,1
8,316392415,8,1
9,316392415,9,1
10,323408464,10,0
11,323408464,11,0
12,323408464,12,0
13,323408464,13,0
14,323408464,14,0
10,301721890,10,1
11,301721890,11,1
12,301721890,12,1
13,301721890,13,1
14,301721890,14,1
