person_id,sex,age,income
0,1,6.0,
1,0,0.0,
2,0,5.0,
3,1,6.0,
4,0,14.0,0.2092762944699149
5,0,3.0,
6,1,8.0,
7,1,10.0,
8,0,4.0,
9,1,6.0,
10,1,11.0,
11,0,12.0,0.06886762106070753
12,0,8.0,
13,0,0.0,
14,0,14.0,0.920622863636502
15,1,1.0,
16,1,0.0,
17,0,4.0,
18,1,10.0,
19,0,2.0,
20,0,0.0,
21,1,11.0,
22,1,2.0,
23,0,7.0,
24,0,2.0,
25,0,12.0,0.8686502617410066
26,0,0.0,
27,0,1.0,
28,1,11.0,
29,0,6.0,
30,1,1.0,
31,1,13.0,
32,0,0.0,
33,0,9.0,
34,0,7.0,
35,1,2.0,
36,1,2.0,
37,0,3.0,
38,1,7.0,
39,1,3.0,
40,1,11.0,
41,1,9.0,
42,1,12.0,
43,0,3.0,
44,0,0.0,
45,1,10.0,
46,1,11.0,
47,0,14.0,0.11248681150043587
48,0,2.0,
49,1,7.0,
50,1,2.0,
51,1,14.0,
52,0,11.0,0.5333662646860791
53,1,2.0,
54,0,6.0,
55,0,1.0,
56,0,0.0,
57,0,2.0,
58,0,0.0,
59,1,3.0,
60,0,13.0,0.2657401234141504
61,1,9.0,
62,1,6.0,
63,0,12.0,0.5106942988951843
64,1,1.0,
65,1,1.0,
66,1,3.0,
67,0,6.0,
68,0,1.0,
69,0,4.0,
70,0,6.0,
71,0,2.0,
72,0,7.0,
73,1,13.0,
74,1,13.0,
75,1,12.0,
76,1,9.0,
77,0,11.0,-0.6255334005329436
78,0,11.0,1.1907316086258812
79,1,8.0,
80,1,8.0,
81,0,12.0,0.6701565503321437
82,1,7.0,
83,1,1.0,
84,0,11.0,-0.5369047713298828
85,0,12.0,-0.8750993854125558
86,1,12.0,
87,1,9.0,
88,0,3.0,
89,1,8.0,
90,1,2.0,
91,0,10.0,-1.3820347260227162
92,0,10.0,-2.6192806035910072
93,0,5.0,
94,1,2.0,
95,1,4.0,
96,0,9.0,
97,1,9.0,
98,0,5.0,
99,1,5.0,
100,1,6.0,
101,1,1.0,
102,1,12.0,
103,0,7.0,
104,1,0.0,
105,1,10.0,
106,1,12.0,
107,1,10.0,
108,1,1.0,
109,0,4.0,
110,0,11.0,0.5861653271698655
111,0,1.0,
112,1,5.0,
113,1,4.0,
114,0,11.0,-0.7624907593835051
115,0,14.0,0.6397705674189378
116,1,1.0,
117,0,2.0,
118,1,13.0,
119,1,12.0,
120,1,8.0,
121,1,14.0,
122,1,12.0,
123,0,13.0,2.1560252861535147
124,0,10.0,1.0854940115848073
125,1,6.0,
126,0,5.0,
127,0,2.0,
128,1,1.0,
129,0,13.0,-1.5795988238989795
130,0,5.0,
131,0,2.0,
132,1,6.0,
133,0,1.0,
134,0,10.0,-0.0843840216296024
135,0,0.0,
136,1,5.0,
137,1,1.0,
138,1,11.0,
139,1,11.0,
140,0,7.0,
141,1,2.0,
142,1,2.0,
143,0,7.0,
144,1,3.0,
145,0,8.0,
146,1,0.0,
147,1,11.0,
148,0,14.0,-0.10678367894303217
149,0,11.0,-0.8713026470236783
150,0,10.0,0.7085263301324782
151,0,13.0,-0.17704463664703687
152,1,8.0,
153,1,11.0,
154,1,1.0,
155,0,14.0,-1.7077448427289017
156,1,3.0,
157,0,4.0,
158,0,10.0,0.49356800079005453
159,0,9.0,
160,0,12.0,-2.2668849557948265
161,1,8.0,
162,1,13.0,
163,1,3.0,
164,1,4.0,
165,1,1.0,
166,0,12.0,0.9592831641658773
167,0,13.0,0.9973927328851383
168,1,3.0,
169,1,4.0,
170,0,12.0,0.12372879270054708
171,0,4.0,
172,1,0.0,
173,0,8.0,
174,1,4.0,
175,1,8.0,
176,1,2.0,
177,0,3.0,
178,0,12.0,-0.6987088119151889
179,1,12.0,
180,1,7.0,
181,1,3.0,
182,0,6.0,
183,0,3.0,
184,0,1.0,
185,1,0.0,
186,1,4.0,
187,1,1.0,
188,1,13.0,
189,0,2.0,
190,0,2.0,
191,1,2.0,
192,1,8.0,
193,1,10.0,
194,1,10.0,
195,1,6.0,
196,1,10.0,
197,1,4.0,
198,0,7.0,
199,0,2.0,
200,0,11.0,0.29032122469609184
201,1,2.0,
202,0,3.0,
203,1,0.0,
204,1,3.0,
205,0,3.0,
206,0,9.0,
207,1,13.0,
208,0,14.0,-0.8707192095484595
209,1,10.0,
210,1,4.0,
211,1,7.0,
212,0,7.0,
213,1,5.0,
214,0,10.0,1.4456183940991385
215,1,12.0,
216,1,3.0,
217,1,4.0,
218,1,2.0,
219,0,5.0,
220,0,1.0,
221,1,8.0,
222,0,2.0,
223,1,7.0,
224,1,2.0,
225,1,10.0,
226,1,13.0,
227,1,7.0,
228,1,8.0,
229,1,8.0,
230,0,14.0,0.4949902726326138
231,0,7.0,
232,1,13.0,
233,0,14.0,-0.8451664655381013
234,1,0.0,
235,0,4.0,
236,0,12.0,-0.2628130337984583
237,0,4.0,
238,0,7.0,
239,0,8.0,
240,0,12.0,3.1974829539733727
241,1,0.0,
242,0,12.0,-0.0010588423370812654
243,1,12.0,
244,0,7.0,
245,0,14.0,-0.37829745272534815
246,1,8.0,
247,1,8.0,
248,1,0.0,
249,1,14.0,
250,1,8.0,
251,1,13.0,
252,1,11.0,
253,1,9.0,
254,1,14.0,
255,0,2.0,
256,1,2.0,
257,0,0.0,
258,1,1.0,
259,0,5.0,
260,0,4.0,
261,1,9.0,
262,0,4.0,
263,1,9.0,
264,1,8.0,
265,1,10.0,
266,0,8.0,
267,1,8.0,
268,0,9.0,
269,1,5.0,
270,1,14.0,
271,1,5.0,
272,0,13.0,1.0110108162654712
273,1,13.0,
274,1,7.0,
275,0,12.0,-0.6334300503835257
276,0,11.0,-0.5856061645692245
277,1,5.0,
278,0,14.0,0.7771447267055485
279,1,12.0,
280,1,1.0,
281,0,6.0,
282,1,6.0,
283,0,8.0,
284,0,2.0,
285,1,5.0,
286,1,13.0,
287,1,0.0,
288,1,5.0,
289,0,1.0,
290,0,14.0,-0.7685061144460843
291,0,14.0,-1.2970277152025405
292,1,12.0,
293,1,7.0,
294,1,0.0,
295,1,1.0,
296,0,13.0,0.7375706675328788
297,0,14.0,0.7529184295240164
298,0,12.0,-2.306182941147614
299,0,1.0,
300,0,7.0,
301,1,10.0,
302,0,10.0,-0.809273033397095
303,1,7.0,
304,0,7.0,
305,0,0.0,
306,0,12.0,-0.23693404546697278
307,0,3.0,
308,1,8.0,
309,0,8.0,
310,0,10.0,0.3239072506712229
311,1,6.0,
312,1,12.0,
313,1,4.0,
314,1,7.0,
315,0,4.0,
316,1,2.0,
317,1,10.0,
318,0,8.0,
319,0,5.0,
320,0,8.0,
321,0,1.0,
322,1,8.0,
323,1,1.0,
324,0,0.0,
325,1,1.0,
326,0,4.0,
327,1,5.0,
328,0,8.0,
329,0,7.0,
330,1,2.0,
331,1,11.0,
332,1,0.0,
333,0,8.0,
334,0,9.0,
335,1,3.0,
336,1,5.0,
337,1,11.0,
338,1,6.0,
339,1,2.0,
340,1,4.0,
341,1,12.0,
342,1,5.0,
343,1,7.0,
344,0,7.0,
345,1,13.0,
346,1,9.0,
347,1,0.0,
348,0,5.0,
349,1,9.0,
350,1,4.0,
351,0,5.0,
352,0,11.0,1.0720688438114894
353,0,7.0,
354,0,9.0,
355,0,1.0,
356,1,1.0,
357,0,6.0,
358,1,7.0,
359,1,3.0,
360,0,13.0,0.08645024003597679
361,1,5.0,
362,1,4.0,
363,1,12.0,
364,1,1.0,
365,1,8.0,
366,1,8.0,
367,0,6.0,
368,1,3.0,
369,0,2.0,
370,1,2.0,
371,0,0.0,
372,1,8.0,
373,1,8.0,
374,1,10.0,
375,1,4.0,
376,0,2.0,
377,0,13.0,0.12369973790391253
378,0,10.0,-1.0622293344492408
379,0,0.0,
380,1,11.0,
381,0,0.0,
382,0,6.0,
383,0,8.0,
384,0,9.0,
385,1,13.0,
386,0,12.0,-0.8347039847535137
387,1,5.0,
388,0,3.0,
389,1,12.0,
390,0,3.0,
391,1,9.0,
392,1,8.0,
393,0,0.0,
394,1,11.0,
395,0,12.0,0.8983820725024066
396,1,4.0,
397,0,3.0,
398,1,3.0,
399,1,8.0,
400,0,1.0,
401,1,0.0,
402,1,7.0,
403,1,5.0,
404,1,11.0,
405,1,4.0,
406,0,13.0,-1.1004879462237114
407,1,0.0,
408,1,5.0,
409,1,6.0,
410,1,8.0,
411,1,13.0,
412,1,5.0,
413,1,11.0,
414,1,12.0,
415,1,11.0,
416,1,4.0,
417,0,6.0,
418,1,3.0,
419,1,10.0,
420,1,10.0,
421,1,5.0,
422,1,8.0,
423,1,6.0,
424,1,5.0,
425,0,1.0,
426,1,7.0,
427,0,5.0,
428,0,8.0,
429,1,8.0,
430,1,10.0,
431,0,2.0,
432,0,2.0,
433,1,6.0,
434,0,4.0,
435,1,2.0,
436,0,4.0,
437,0,6.0,
438,1,7.0,
439,0,4.0,
440,0,6.0,
441,0,7.0,
442,1,4.0,
443,1,6.0,
444,1,9.0,
445,1,8.0,
446,1,9.0,
447,1,13.0,
448,0,14.0,0.6338708137850724
449,1,2.0,
450,0,7.0,
451,1,9.0,
452,0,0.0,
453,0,4.0,
454,1,12.0,
455,1,0.0,
456,1,4.0,
457,1,13.0,
458,0,0.0,
459,0,13.0,-0.9152704846639929
460,0,6.0,
461,0,9.0,
462,1,5.0,
463,1,12.0,
464,1,0.0,
465,0,1.0,
466,1,1.0,
467,0,4.0,
468,0,2.0,
469,1,3.0,
470,0,5.0,
471,0,5.0,
472,0,3.0,
473,1,3.0,
474,0,5.0,
475,1,6.0,
476,1,8.0,
477,0,4.0,
478,0,11.0,-1.297471755359271
479,1,1.0,
480,1,13.0,
481,1,4.0,
482,0,8.0,
483,0,14.0,-0.4322117530530746
484,0,2.0,
485,0,4.0,
486,1,12.0,
487,1,2.0,
488,0,9.0,
489,1,4.0,
490,1,14.0,
491,1,1.0,
492,1,5.0,
493,0,7.0,
494,1,10.0,
495,0,4.0,
496,1,7.0,
497,0,8.0,
498,1,0.0,
499,0,0.0,
500,1,4.0,
501,0,11.0,1.059455516811933
502,1,1.0,
503,1,0.0,
504,0,10.0,-2.1595920504682318
505,1,0.0,
506,0,5.0,
507,1,6.0,
508,1,9.0,
509,0,10.0,0.2736075032324234
510,1,6.0,
511,0,14.0,0.2178924553288528
512,1,5.0,
513,0,6.0,
514,0,3.0,
515,1,14.0,
516,1,3.0,
517,0,10.0,1.0759409181533681
518,0,2.0,
519,0,12.0,0.06937008395653746
520,0,14.0,0.46665199638203264
521,0,1.0,
522,1,8.0,
523,1,11.0,
524,1,3.0,
525,0,1.0,
526,0,1.0,
527,0,7.0,
528,0,12.0,-1.5287869947378168
529,1,4.0,
530,0,14.0,-0.9256383920977915
531,0,0.0,
532,0,14.0,-0.6631329812615014
533,1,6.0,
534,1,11.0,
535,0,2.0,
536,1,5.0,
537,0,6.0,
538,1,13.0,
539,0,5.0,
540,0,9.0,
541,0,4.0,
542,0,4.0,
543,0,3.0,
544,0,4.0,
545,1,0.0,
546,1,5.0,
547,1,9.0,
548,0,2.0,
549,1,11.0,
550,0,1.0,
551,1,12.0,
552,1,0.0,
553,0,2.0,
554,1,11.0,
555,0,3.0,
556,1,12.0,
557,1,4.0,
558,0,13.0,-2.274070053731467
559,0,1.0,
560,1,14.0,
561,0,14.0,1.1667980284973485
562,1,13.0,
563,1,4.0,
564,0,11.0,-0.7249330776348837
565,0,8.0,
566,1,5.0,
567,0,14.0,0.7411405179848544
568,0,4.0,
569,1,2.0,
570,0,11.0,-1.0020134142607244
571,0,13.0,-0.7316650418582739
572,1,6.0,
573,0,7.0,
574,0,12.0,0.5963143554325262
575,1,11.0,
576,1,14.0,
577,1,6.0,
578,0,4.0,
579,0,10.0,0.5363444440333102
580,0,3.0,
581,0,10.0,-1.379225616134922
582,0,11.0,0.1390867505544731
583,1,5.0,
584,0,6.0,
585,0,1.0,
586,1,10.0,
587,1,8.0,
588,0,1.0,
589,1,1.0,
590,1,7.0,
591,0,10.0,-0.06451309551365764
592,1,0.0,
593,1,6.0,
594,1,5.0,
595,1,1.0,
596,0,7.0,
597,1,9.0,
